series_id,series_title,frequency,year,period,period_name,date_index,value,previous_value,value_diff,pct_change,month,quarter,latest,footnotes,nlp_text,publication_datetime
CES0000000001,Total Nonfarm Employment,Monthly,2022,M02,February,2022-M02,150825.0,3.9,150821.1,3867207.692307692,2,,False,,Total Nonfarm Employment for February 2022 was 150825.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2022,M03,March,2022-M03,3.7,150825.0,-150821.3,-99.99754682579147,3,,False,,Unemployment Rate for March 2022 was 3.7.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2022,M03,March,2022-M03,151315.0,3.7,151311.3,4089494.594594594,3,,False,,Total Nonfarm Employment for March 2022 was 151315.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2022,M04,April,2022-M04,3.7,151315.0,-151311.3,-99.99755476985096,4,,False,,Unemployment Rate for April 2022 was 3.7.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2022,M04,April,2022-M04,151623.0,3.7,151619.3,4097818.918918919,4,,False,,Total Nonfarm Employment for April 2022 was 151623.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2022,M05,May,2022-M05,3.6,151623.0,-151619.4,-99.99762569003383,5,,False,,Unemployment Rate for May 2022 was 3.6.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2022,M05,May,2022-M05,151924.0,3.6,151920.4,4220011.111111111,5,,False,,Total Nonfarm Employment for May 2022 was 151924.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2022,M06,June,2022-M06,3.6,151924.0,-151920.4,-99.99763039414444,6,,False,,Unemployment Rate for June 2022 was 3.6.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2022,M06,June,2022-M06,152358.0,3.6,152354.4,4232066.666666666,6,,False,,Total Nonfarm Employment for June 2022 was 152358.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2022,M07,July,2022-M07,3.5,152358.0,-152354.5,-99.99770277898108,7,,False,,Unemployment Rate for July 2022 was 3.5.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2022,M07,July,2022-M07,153072.0,3.5,153068.5,4373385.714285715,7,,False,,Total Nonfarm Employment for July 2022 was 153072.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2022,M08,August,2022-M08,3.6,153072.0,-153068.4,-99.99764816556915,8,,False,,Unemployment Rate for August 2022 was 3.6.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2022,M08,August,2022-M08,153362.0,3.6,153358.4,4259955.555555555,8,,False,,Total Nonfarm Employment for August 2022 was 153362.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2022,M09,September,2022-M09,3.5,153362.0,-153358.5,-99.99771781797317,9,,False,,Unemployment Rate for September 2022 was 3.5.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2022,M09,September,2022-M09,153582.0,3.5,153578.5,4387957.142857143,9,,False,,Total Nonfarm Employment for September 2022 was 153582.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2022,M10,October,2022-M10,3.6,153582.0,-153578.4,-99.99765597530961,10,,False,,Unemployment Rate for October 2022 was 3.6.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2022,M10,October,2022-M10,153939.0,3.6,153935.4,4275983.333333333,10,,False,,Total Nonfarm Employment for October 2022 was 153939.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2022,M11,November,2022-M11,3.6,153939.0,-153935.4,-99.99766141133826,11,,False,,Unemployment Rate for November 2022 was 3.6.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2022,M11,November,2022-M11,154242.0,3.6,154238.4,4284400.0,11,,False,,Total Nonfarm Employment for November 2022 was 154242.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2022,M12,December,2022-M12,3.5,154242.0,-154238.5,-99.9977308385524,12,,False,,Unemployment Rate for December 2022 was 3.5.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2022,M12,December,2022-M12,154342.0,3.5,154338.5,4409671.428571428,12,,False,,Total Nonfarm Employment for December 2022 was 154342.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2023,M01,January,2023-M01,3.5,154342.0,-154338.5,-99.99773230876883,1,,False,,Unemployment Rate for January 2023 was 3.5.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2023,M01,January,2023-M01,154776.0,3.5,154772.5,4422071.428571428,1,,False,,Total Nonfarm Employment for January 2023 was 154776.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2023,M02,February,2023-M02,3.6,154776.0,-154772.4,-99.99767405799348,2,,False,,Unemployment Rate for February 2023 was 3.6.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2023,M02,February,2023-M02,155066.0,3.6,155062.4,4307288.888888888,2,,False,,Total Nonfarm Employment for February 2023 was 155066.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2023,M03,March,2023-M03,3.5,155066.0,-155062.5,-99.99774289657307,3,,False,,Unemployment Rate for March 2023 was 3.5.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2023,M03,March,2023-M03,155134.0,3.5,155130.5,4432300.0,3,,False,,Total Nonfarm Employment for March 2023 was 155134.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2023,M04,April,2023-M04,3.4,155134.0,-155130.6,-99.99780834633285,4,,False,,Unemployment Rate for April 2023 was 3.4.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2023,M04,April,2023-M04,155375.0,3.4,155371.6,4569752.94117647,4,,False,,Total Nonfarm Employment for April 2023 was 155375.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2023,M05,May,2023-M05,3.6,155375.0,-155371.4,-99.99768302493965,5,,False,,Unemployment Rate for May 2023 was 3.6.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2023,M05,May,2023-M05,155655.0,3.6,155651.4,4323650.0,5,,False,,Total Nonfarm Employment for May 2023 was 155655.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2023,M06,June,2023-M06,3.6,155655.0,-155651.4,-99.9976871928303,6,,False,,Unemployment Rate for June 2023 was 3.6.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2023,M06,June,2023-M06,155880.0,3.6,155876.4,4329900.0,6,,False,,Total Nonfarm Employment for June 2023 was 155880.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2023,M07,July,2023-M07,3.5,155880.0,-155876.5,-99.99775468308955,7,,False,,Unemployment Rate for July 2023 was 3.5.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2023,M07,July,2023-M07,156043.0,3.5,156039.5,4458271.428571428,7,,False,,Total Nonfarm Employment for July 2023 was 156043.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2023,M08,August,2023-M08,3.7,156043.0,-156039.3,-99.99762885871202,8,,False,,Unemployment Rate for August 2023 was 3.7.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2023,M08,August,2023-M08,156261.0,3.7,156257.3,4223170.27027027,8,,False,,Total Nonfarm Employment for August 2023 was 156261.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2023,M09,September,2023-M09,3.7,156261.0,-156257.3,-99.99763216669547,9,,False,,Unemployment Rate for September 2023 was 3.7.,2026-07-26T19:16:15Z
